Condition,FrameNumber,ImageFilename,AverageBrightnessau
pH 12,1,APC\_0018.jpg,66.736
pH 12,2,APC\_0019.jpg,69.522
pH 12,3,APC\_0020.jpg,69.695
pH 12,4,APC\_0021.jpg,66.618
pH 12,5,APC\_0022.jpg,68.104
pH 12,6,APC\_0023.jpg,69.163
pH 12,7,APC\_0024.jpg,67.727
pH 12,8,APC\_0025.jpg,70.002
pH 12,9,APC\_0026.jpg,69.818
pH 12,10,APC\_0027.jpg,69.777
pH 12,11,APC\_0028.jpg,70.931
pH 12,12,APC\_0029.jpg,67.8
pH 12,13,APC\_0030.jpg,68.746
pH 12,14,APC\_0031.jpg,68.952
pH 12,15,APC\_0032.jpg,67.002
pH 13,1,APC\_0001.jpg,79.538
pH 13,2,APC\_0002.jpg,84.492
pH 13,3,APC\_0003.jpg,86.194
pH 13,4,APC\_0004.jpg,86.463
pH 13,5,APC\_0005.jpg,86.924
pH 13,6,APC\_0006.jpg,93.686
pH 13,7,APC\_0007.jpg,80.615
pH 13,8,APC\_0008.jpg,93.902
pH 13,9,APC\_0009.jpg,87.926
pH 13,10,APC\_0010.jpg,84.428
pH 13,11,APC\_0011.jpg,83.988
pH 13,12,APC\_0012.jpg,90.678
pH 13,13,APC\_0013.jpg,92.617
pH 13,14,APC\_0014.jpg,94.237
pH 13,15,APC\_0015.jpg,92.37
pH 13,16,APC\_0016.jpg,86.077
